# of SR,DESCRIPTION,DATETIMEINIT,DATETIMECLOSED,STATUS,PROBADDRESS,SRX,SRY
3489 ,Pick up abandoned bicycle(s), 12/13/2010, 12/15/2010,CLOSED,124 W WHITE ST,"1,008,983.00","1,255,693.00"
3490 ,Snow & Ice mailbox repair, 12/13/2010, 04/18/2011,CLOSED,1806 BELLAMY DR,"1,004,206.00","1,248,071.00"
3491 ,Sewer backup, 12/14/2010, 12/14/2010,CLOSED,908 BELLEPARK DR,"995,479.00","1,252,682.00"
3492 ,Snow & Ice mailbox repair, 12/14/2010, 04/18/2011,CLOSED,1413 QUEENS WAY,"1,001,393.00","1,266,405.00"
3493 ,Lights out in/on City properties, 12/14/2010, 01/05/2011,CLOSED,102 N NEIL ST,"1,009,517.00","1,256,347.00"
3494 ,Lights out in/on City properties, 12/14/2010, 01/05/2011,CLOSED,102 N NEIL ST,"1,009,517.00","1,256,347.00"
3495 ,Heating/air conditioning complaints, 12/14/2010, 12/15/2010,CLOSED,82 E UNIVERSITY AVE,"1,006,280.00","1,261,146.00"
3496 ,Traffic signal that has lost power or is flashing, 12/14/2010, 12/17/2010,CLOSED,KENWOOD RD / W SPRINGFIELD AVE,"997,465.00","1,255,048.00"
3497 ,Snow & Ice mailbox repair, 12/14/2010, 12/29/2010,CLOSED,1310 W SPRINGFIELD AVE,"1,002,333.00","1,255,086.00"
3498 ,Manhole cover missing, 12/14/2010, 12/15/2010,CLOSED,400 N LYNN ST,"1,007,075.00","1,257,351.00"
3499 ,Plow request, 12/14/2010, 12/14/2010,CLOSED,500 N FAIR ST,"1,001,274.00","1,257,707.00"
3500 ,Lights out in/on City properties, 12/15/2010, 01/05/2011,CLOSED,713 EDGEBROOK DR,"1,006,377.00","1,261,726.00"
3501 ,Snow & Ice mailbox repair, 12/15/2010, 12/29/2010,CLOSED,2204 S MATTIS AVE,"1,000,283.00","1,245,516.00"
3502 ,Signal head needs alignment, 12/15/2010, 12/16/2010,CLOSED,N MATTIS AVE / W OLYMPIAN DR,"999,968.00","1,271,366.00"
3503 ,Request to repair or replace a stop sign, 12/15/2010, 12/15/2010,CLOSED,S Staley Rd & W Curtis Rd,"989,677.00","1,239,245.30"
3504 ,Flooding call, 12/15/2010, 12/15/2010,CLOSED,E KIRBY AVE / S FOURTH ST,"1,012,228.00","1,249,653.00"
3505 ,Pick up abandoned bicycle(s), 12/15/2010, 12/21/2010,CLOSED,804 N ELM ST,"1,007,663.00","1,259,084.00"
3506 ,Snow & Ice mailbox repair, 12/15/2010, 01/05/2011,CLOSED,1710 SCOTTSDALE DR,"997,029.00","1,248,879.00"
3507 ,Pothole repair, 12/15/2010, 12/24/2010,CLOSED,W GREEN ST / S RANDOLPH ST,"1,008,925.00","1,254,052.00"
3508 ,Plow request, 12/15/2010, 12/15/2010,CLOSED,705 HAMILTON DR,"1,006,291.00","1,250,405.00"
3509 ,Pothole repair, 12/15/2010, 12/24/2010,CLOSED,3500 W BRADLEY AVE,"992,209.00","1,260,449.00"
3510 ,Slick street, 12/15/2010, 12/15/2010,CLOSED,417 S CHESTNUT ST,"1,009,685.00","1,254,703.00"
3511 ,Plumbing repair, 12/15/2010, 01/06/2011,CLOSED,102 N NEIL ST,"1,009,517.00","1,256,347.00"
3512 ,Snow & Ice mailbox repair, 12/16/2010, 01/05/2011,CLOSED,1210 HARRINGTON DR,"1,003,069.00","1,245,496.00"
3513 ,Snow & Ice mailbox repair, 12/16/2010, 01/05/2011,CLOSED,2712 LAKEVIEW DR,"996,025.00","1,243,343.00"
3514 ,Snow & Ice mailbox repair, 12/16/2010, 01/05/2011,CLOSED,2708 W KIRBY AVE,"995,924.00","1,249,842.00"
3515 ,Snow & Ice mailbox repair, 12/16/2010, 04/18/2011,CLOSED,2804 W KIRBY AVE,"995,662.00","1,249,842.00"
3516 ,Plumbing repair, 12/16/2010, 01/05/2011,CLOSED,702 EDGEBROOK DR,"1,006,489.00","1,262,003.00"
3517 ,Heating/air conditioning complaints, 12/16/2010, 01/06/2011,CLOSED,82 E UNIVERSITY AVE,"1,010,563.00","1,256,413.00"
3518 ,Snow & Ice mailbox repair, 12/16/2010, 01/05/2011,CLOSED,806 W KIRBY AVE,"1,005,784.00","1,249,770.00"
3519 ,Snow & Ice mailbox repair, 12/16/2010, 01/05/2011,CLOSED,3308 CYPRESS CREEK RD,"995,507.00","1,240,429.00"
3520 ,Request to repair a burnt out streetlight lamp, 12/16/2010, 01/06/2011,CLOSED,600 W KIRBY AVE,"1,013,084.00","1,249,683.00"
3521 ,Snow & Ice mailbox repair, 12/16/2010, 04/18/2011,CLOSED,1205 BROADMOOR DR,"1,003,325.00","1,248,109.00"
3522 ,Repair of sod damaged by snow plow, 12/16/2010, 05/09/2011,CLOSED,1005 LINCOLNSHIRE DR,"1,004,472.00","1,249,085.00"
3523 ,Snow & Ice mailbox repair, 12/16/2010, 04/18/2011,CLOSED,1410 THEODORE DR,"1,002,136.00","1,247,206.00"
3524 ,Snow & Ice mailbox repair, 12/16/2010, 01/05/2011,CLOSED,1806 BELLAMY DR,"1,004,206.00","1,248,071.00"
3525 ,Snow & Ice mailbox repair, 12/16/2010, 04/18/2011,CLOSED,2002 GALEN DR,"1,002,745.00","1,243,204.00"
3526 ,Snow & Ice mailbox repair, 12/16/2010, 01/05/2011,CLOSED,1417 CAMBRIDGE DR,"1,001,228.00","1,250,271.00"
3527 ,Snow & Ice mailbox repair, 12/16/2010, 04/18/2011,CLOSED,4401 IRONWOOD LN,"988,661.00","1,245,955.00"
3528 ,Snow & Ice mailbox repair, 12/16/2010, 12/29/2010,CLOSED,1406 THEODORE DR,"1,001,924.00","1,247,264.00"
3529 ,Snow & Ice mailbox repair, 12/16/2010, 01/05/2011,CLOSED,3205 SYLVAN DR,"993,776.00","1,253,030.00"
3530 ,Misc. request/problem involving City facilities, 12/17/2010, 04/06/2011,CLOSED,713 EDGEBROOK DR,"1,006,377.00","1,261,726.00"
3531 ,Request to repair a streetlight, 12/17/2010, 01/06/2011,CLOSED,MARKET ST / E UNIVERSITY AVE,"1,009,835.00","1,256,293.00"
3532 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,ASPEN DR / WINCHESTER DR,"998,746.00","1,245,360.00"
3533 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,2300 BELMORE DR,"998,992.00","1,245,847.00"
3534 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,2315 MULBERRY CT,"997,870.00","1,244,847.00"
3535 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,100 N ELM ST,"1,007,544.00","1,256,291.00"
3536 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,3401 CLAYTON RD,"993,061.00","1,258,463.00"
3537 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,2200 RODNEY DR,"997,821.00","1,249,449.00"
3538 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,500 N FAIR ST,"1,001,307.00","1,257,836.00"
3539 ,Pothole repair, 12/17/2010, 05/09/2011,CLOSED,1709 S NEIL ST,"1,008,728.00","1,248,505.00"
3540 ,Pothole repair, 12/17/2010, 12/24/2010,CLOSED,W GREEN ST / S RANDOLPH ST,"1,008,925.00","1,254,052.00"
3541 ,Water leak, 12/17/2010, 12/21/2010,CLOSED,610 W JOHN ST,"1,006,693.00","1,253,720.00"
3542 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,2507 ALTON DR,"996,992.00","1,251,444.00"
3543 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,500 S SIXTH ST,"1,013,051.00","1,254,973.00"
3544 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,1819 PARKDALE DR,"999,606.00","1,249,353.00"
3545 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,1304 Cobblestone Way,"992,442.07","1,261,137.66"
3546 ,Snow & Ice mailbox repair, 12/17/2010, 04/18/2011,CLOSED,1406 WEATHERVANE DR,"1,001,830.00","1,247,563.00"
3547 ,Snow & Ice mailbox repair, 12/17/2010, 01/05/2011,CLOSED,1405 OLD FARM RD,"1,001,828.00","1,247,674.00"
3548 ,Snow & Ice mailbox repair, 12/17/2010, 12/29/2010,CLOSED,1204 S MATTIS AVE,"1,000,213.00","1,251,551.00"
3549 ,Pothole repair, 12/17/2010, 12/24/2010,CLOSED,SCOTTSDALE DR / SOUTHMOOR DR,"997,413.00","1,247,229.00"
3550 ,Snow & Ice mailbox repair, 12/17/2010, 12/29/2010,CLOSED,1602 W CHARLES ST,"1,001,210.00","1,252,559.00"
3551 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,HOLLYCREST DR / W WILLIAM ST,"999,165.00","1,251,593.00"
3552 ,Signal not cycling properly, 12/17/2010, 12/28/2010,CLOSED,W CHURCH ST / N RANDOLPH ST,"1,008,905.00","1,257,003.00"
3553 ,Snow & Ice mailbox repair, 12/17/2010, 01/05/2011,CLOSED,3010 CHERRY HILLS DR,"995,734.00","1,241,301.00"
3554 ,Plow request, 12/17/2010, 12/17/2010,CLOSED,3005 BLAIR DR,"992,442.00","1,261,138.00"
3555 ,Plumbing repair, 12/20/2010, 07/06/2011,CLOSED,82 E UNIVERSITY AVE,"1,010,563.00","1,256,413.00"
3556 ,All other traffic service requests, 12/20/2010, 03/18/2011,CLOSED,W MARKETVIEW DR / N PROSPECT AVE,"1,005,322.00","1,264,202.00"
3557 ,Pothole repair, 12/20/2010, 12/24/2010,CLOSED,200 E GREEN ST,"1,011,196.00","1,254,099.00"
3558 ,Plow request, 12/20/2010, 12/20/2010,CLOSED,S FAIR ST / W WILLIAM ST,"1,001,287.00","1,252,788.00"
3559 ,Request to establish a new crosswalk, 12/20/2010, 01/05/2011,CLOSED,ELM,,
3560 ,Report of odors within City buildings, 12/20/2010, 01/05/2011,CLOSED,102 N NEIL ST,"1,009,517.00","1,256,347.00"
3561 ,Plow request, 12/20/2010, 12/20/2010,CLOSED,3710 SUMMER SAGE CT,"991,879.00","1,260,315.00"
3562 ,Misc. request/problem involving City facilities, 12/20/2010, 01/07/2011,CLOSED,82 E UNIVERSITY AVE,"1,010,563.00","1,256,413.00"
3563 ,Sewer backup, 12/20/2010, 12/21/2010,CLOSED,S NEIL ST / E WINDSOR RD,"1,008,444.00","1,244,359.00"
3564 ,Snow & Ice mailbox repair, 12/20/2010, 04/18/2011,CLOSED,604 DOISY LN,"1,006,470.00","1,268,866.00"
3565 ,Slick street, 12/20/2010, 12/20/2010,CLOSED,300 WILLOW ST,"1,010,268.00","1,255,459.00"
3566 ,Request to repair a burnt out streetlight lamp, 12/21/2010, 12/21/2010,CLOSED,407 N PROSPECT AVE,"1,005,269.00","1,257,654.00"
3567 ,Heating/air conditioning complaints, 12/21/2010, 01/05/2011,CLOSED,82 E UNIVERSITY AVE,"1,010,563.00","1,256,413.00"
3568 ,Request to repair a burnt out streetlight lamp, 12/21/2010, 12/28/2010,CLOSED,205 E GREEN ST,"1,011,375.00","1,253,956.00"
3569 ,Snow & Ice mailbox repair, 12/21/2010, 04/18/2011,CLOSED,2704 GALEN DR,"1,003,542.00","1,242,722.00"
3570 ,Snow & Ice mailbox repair, 12/21/2010, 12/29/2010,CLOSED,2107 W KIRBY AVE,"998,395.00","1,249,664.00"
3571 ,Clean up from accident, 12/21/2010, 12/21/2010,CLOSED,W HEALEY ST / S STATE ST,"1,008,458.00","1,254,596.00"
3572 ,Plow request, 12/21/2010, 12/21/2010,CLOSED,3210 BRENTWOOD CT,"993,982.00","1,252,629.00"
3573 ,Snow & Ice mailbox repair, 12/21/2010, 04/18/2011,CLOSED,2608 HATHAWAY DR,"996,121.00","1,249,042.00"
3574 ,Snow & Ice mailbox repair, 12/21/2010, 12/29/2010,CLOSED,1007 WESTLAWN AVE,"1,001,508.00","1,252,434.00"
3575 ,Snow & Ice mailbox repair, 12/21/2010, 04/18/2011,CLOSED,606 DOISY LN,"1,006,418.00","1,268,864.00"
3576 ,Traffic signal that has lost power or is flashing, 12/21/2010, 12/28/2010,CLOSED,W JOHN ST / S MATTIS AVE,"1,000,100.00","1,253,621.00"
3577 ,Plumbing repair, 12/21/2010, 01/11/2011,CLOSED,82 E UNIVERSITY AVE,"1,010,563.00","1,256,413.00"
3578 ,All other traffic service requests, 12/22/2010, 01/19/2011,CLOSED,500 N NEIL ST,"1,009,364.00","1,258,056.00"
3579 ,All other traffic service requests, 12/22/2010, 01/19/2011,CLOSED,30 E JOHN ST,"1,010,008.00","1,253,711.00"
3580 ,Snow & Ice mailbox repair, 12/22/2010, 04/18/2011,CLOSED,2507 W KIRBY AVE,"996,682.00","1,249,679.00"
3581 ,Plow request, 12/22/2010, 12/22/2010,CLOSED,1613 LOCK RAVEN RD,"1,000,684.00","1,261,287.00"
3582 ,Request to repair a burnt out streetlight lamp, 12/22/2010, 01/06/2011,CLOSED,604 BLOOMINGTON RD,"1,007,257.00","1,261,121.00"
3583 ,Repair of sod damaged by snow plow, 12/22/2010, 03/01/2011,CLOSED,1918 DAVID DR,"1,005,245.00","1,246,988.00"
3584 ,Snow & Ice mailbox repair, 12/22/2010, 01/05/2011,CLOSED,2113 W KIRBY AVE,"998,200.00","1,249,658.00"
3585 ,Sewer backup, 12/22/2010, 12/22/2010,CLOSED,2103 BARBERRY DR,"999,164.00","1,246,581.00"
3586 ,Pick up garbage, 12/22/2010, 12/24/2010,CLOSED,N DUNCAN RD / W SPRINGFIELD AVE,"994,847.00","1,255,088.00"
3587 ,Misc. request/problem involving City facilities, 12/22/2010, 01/11/2011,CLOSED,102 N NEIL ST,"1,009,517.00","1,256,347.00"
3588 ,Miscellaneous sewer call, 12/22/2010, 03/04/2011,CLOSED,4907 WESTBOROUGH DR,"985,871.00","1,248,291.00"
3589 ,Request to repair or replace a stop sign, 12/22/2010, 01/06/2011,CLOSED,915 W MARKETVIEW DR,"1,003,585.00","1,264,480.00"
3590 ,Inspect sewer, 12/22/2010, 01/03/2011,CLOSED,1112 W COLUMBIA AVE,"1,003,621.00","1,258,197.00"
3591 ,Plow request, 12/24/2010, 12/24/2010,CLOSED,0005 BELLAMY CT,"1,004,238.00","1,248,399.00"
3592 ,Slick street, 12/24/2010, 12/24/2010,CLOSED,808 PHOENIX DR,"1,005,987.00","1,244,607.00"
3593 ,Pick up miscellaneous debris, 12/24/2010, 01/07/2011,CLOSED,S SECOND ST / E DANIEL ST,"1,004,419.00","1,247,433.00"
3594 ,Request to repair a burnt out streetlight lamp, 12/24/2010, 12/28/2010,CLOSED,W KIRBY AVE / PARK HAVEN DR,"1,007,260.00","1,249,657.00"
3595 ,Request to repair or replace a stop sign, 12/24/2010, 12/28/2010,CLOSED,E EUREKA ST / MARKET ST,"1,010,687.00","1,259,435.00"
3596 ,Plow request, 12/25/2010, 12/25/2010,CLOSED,1601 SANDPIPER CT,"1,001,454.00","1,246,715.00"
3597 ,Snow & Ice mailbox repair, 12/25/2010, 04/18/2011,CLOSED,1215 WILSHIRE CT,"1,003,117.00","1,241,833.00"
3598 ,Pothole repair, 12/25/2010, 12/29/2010,CLOSED,900 W GREEN ST,"1,005,373.00","1,254,058.00"
3599 ,Snow & Ice mailbox repair, 12/25/2010, 04/18/2011,CLOSED,1213 Dorchester Dr,"1,003,156.48","1,243,032.56"
3600 ,Manhole - misc. issue, 12/25/2010, 02/21/2011,CLOSED,3104 Countrybend Ln,"994,272.59","1,243,121.16"
3601 ,Snow & Ice mailbox repair, 12/27/2010, 12/29/2010,CLOSED,605 W BLOOMINGTON RD,"1,006,921.00","1,261,139.00"
3602 ,Snow & Ice mailbox repair, 12/27/2010, 12/29/2010,CLOSED,1409 S PROSPECT AVE,"1,005,322.00","1,250,094.00"
3603 ,Plow request, 12/27/2010, 12/27/2010,CLOSED,1406 SUNSET DR,"1,007,525.00","1,261,483.00"
3604 ,Slick street, 12/27/2010, 12/27/2010,CLOSED,W KIRBY AVE / S STALEY RD,"989,576.00","1,249,861.00"
3605 ,Snow & Ice mailbox repair, 12/27/2010, 01/05/2011,CLOSED,601 W BLOOMINGTON RD,"1,006,953.00","1,261,121.00"
3606 ,Plow request, 12/27/2010, 12/27/2010,CLOSED,500 S FAIR ST,"1,001,208.00","1,254,409.00"
3607 ,Miscellaneous sewer call, 12/27/2010, 01/03/2011,CLOSED,207 EDGEBROOK DR,"1,008,759.00","1,261,713.00"
3608 ,Snow & Ice mailbox repair, 12/27/2010, 04/18/2011,CLOSED,1529 DEVONSHIRE DR,"1,001,498.00","1,246,713.00"
3609 ,Snow & Ice mailbox repair, 12/27/2010, 04/18/2011,CLOSED,2306 S MATTIS AVE,"1,000,285.00","1,244,935.00"
3610 ,Snow & Ice mailbox repair, 12/27/2010, 01/05/2011,CLOSED,2806 WEDGEWOOD DR,"995,612.00","1,242,130.00"
3611 ,Pothole repair, 12/27/2010, 12/29/2010,CLOSED,3550 W BRADLEY AVE,"992,419.00","1,260,446.00"
3612 ,Sewer backup, 12/27/2010, 01/03/2011,CLOSED,NORTHWOOD DR N / N WILLIS AVE,"1,004,479.00","1,260,522.00"
3613 ,Signal not cycling properly, 12/27/2010, 01/20/2011,CLOSED,N MATTIS AVE / SPRINGER DR,"1,000,022.00","1,258,507.00"
3614 ,Signal not cycling properly, 12/27/2010, 12/29/2010,CLOSED,S NEIL ST / E KIRBY AVE,"1,009,075.00","1,249,646.00"
3615 ,Pothole repair, 12/27/2010, 12/29/2010,CLOSED,1302 W GREEN ST,"1,002,657.00","1,254,142.00"
3616 ,Pick up dead animal(s), 12/27/2010, 01/03/2011,CLOSED,1909 JOANNE LN,"1,001,370.00","1,263,476.00"
3617 ,Repair of sod damaged by snow plow, 12/27/2010, 04/14/2011,CLOSED,2810 ROBESON PARK DR,"996,118.00","1,246,665.00"
3618 ,Repair of sod damaged by snow plow, 12/28/2010, 03/01/2011,CLOSED,2702 RACHEL RD,"996,287.00","1,258,390.00"
3619 ,Sewer odor, 12/28/2010, 01/03/2011,CLOSED,603 N ELM ST,"1,007,446.00","1,258,213.00"
3620 ,Leak in roof of a City building/property, 12/28/2010, 03/28/2012,CLOSED,307 S RANDOLPH ST,"1,008,710.00","1,255,504.00"
3621 ,Lights out in/on City properties, 12/28/2010, 01/05/2011,CLOSED,102 N NEIL ST,"1,009,517.00","1,256,347.00"
3622 ,Signal not cycling properly, 12/28/2010, 01/20/2011,CLOSED,W BRADLEY AVE / CLAYTON BLVD,"997,247.00","1,260,366.00"
3623 ,Snow & Ice mailbox repair, 12/28/2010, 04/18/2011,CLOSED,1702 INTERSTATE DR,"1,000,415.00","1,268,196.00"
3624 ,Request to repair or replace a generic street sign, 12/28/2010, 12/30/2010,CLOSED,500 N DUNCAN RD,"994,834.00","1,258,116.00"
3625 ,Sewer backup, 12/29/2010, 01/03/2011,CLOSED,305 N JAMES ST,"1,003,273.00","1,257,207.00"
3626 ,Request to repair or replace a stop sign, 12/29/2010, 12/30/2010,CLOSED,W DANIEL ST / S DUNCAN RD,"994,865.00","1,253,312.00"
3627 ,Slick street, 12/29/2010, 12/29/2010,CLOSED,205 NELSON CT,"1,011,543.00","1,259,092.00"
3628 ,Water leak, 12/29/2010, 01/03/2011,CLOSED,718 ASHTON LN,"1,006,406.00","1,247,130.00"
3629 ,Sewer backup, 12/29/2010, 01/03/2011,CLOSED,1010 HOLLYCREST DR,"999,254.00","1,252,257.00"
3630 ,Signal not cycling properly, 12/29/2010, 01/20/2011,CLOSED,N PROSPECT AVE / W MARKETVIEW DR,"1,005,322.00","1,264,202.00"
3631 ,Sewer backup, 12/29/2010, 01/03/2011,CLOSED,1715 CAROLYN DR,"997,579.00","1,248,927.00"
3632 ,Plow request, 12/29/2010, 12/29/2010,CLOSED,N JAMES ST / W PARK AVE,"1,003,352.00","1,256,662.00"
3633 ,Request to repair or replace a stop sign, 12/30/2010, 12/30/2010,CLOSED,S ELM ST / W GREEN ST,"1,007,540.00","1,254,043.00"
3634 ,Sewer backup, 12/30/2010, 01/03/2011,CLOSED,201 BELLEFONTAINE ST,"1,011,251.00","1,261,085.00"
3635 ,Snow & Ice mailbox repair, 12/30/2010, 04/18/2011,CLOSED,2304 BROADMOOR DR,"997,831.00","1,248,484.00"
3636 ,Pothole repair, 12/30/2010, 01/05/2011,CLOSED,W KIRBY AVE / S DUNCAN RD,"994,907.00","1,249,778.00"
3637 ,Tree pruning, 12/30/2010, 01/05/2011,CLOSED,W WINDSOR RD / S PROSPECT AVE,"1,005,473.00","1,244,375.00"
3638 ,Pick up garbage, 12/30/2010, 01/03/2011,CLOSED,3100 N MATTIS AVE,"1,000,009.00","1,269,349.00"
3639 ,Pick up miscellaneous debris, 12/30/2010, 01/03/2011,CLOSED,W COLUMBIA AVE / N HARRIS AVE,"1,006,681.00","1,258,063.00"
3640 ,Misc. request/problem involving City facilities, 12/30/2010, 06/15/2011,CLOSED,102 N NEIL ST,"1,009,517.00","1,256,347.00"
3641 ,Sewer backup, 12/30/2010, 01/03/2011,CLOSED,505 W UNION ST,"1,007,502.00","1,255,242.00"
3642 ,Pothole repair, 12/30/2010, 01/04/2011,CLOSED,800 W SPRINGFIELD AVE,"1,006,034.00","1,254,969.00"
3643 ,Heating/air conditioning complaints, 12/30/2010, 01/06/2011,CLOSED,102 N NEIL ST,"1,009,517.00","1,256,347.00"
3644 ,Repair of sod damaged by snow plow, 01/03/2011, 04/15/2011,CLOSED,910 GALEN DR,"1,004,966.00","1,242,432.00"
3645 ,Sweeping of street, 01/03/2011, 01/05/2011,CLOSED,1100 SCOTTSDALE DR,"996,714.00","1,251,787.00"
3646 ,Pothole repair, 01/03/2011, 01/05/2011,CLOSED,E GREEN ST / S CHESTNUT ST,"1,009,386.00","1,254,058.00"
3647 ,Snow & Ice mailbox repair, 01/03/2011, 04/18/2011,CLOSED,2804 WEDGEWOOD DR,"995,688.00","1,242,180.00"
3648 ,Traffic signal that has lost power or is flashing, 01/03/2011, 01/05/2011,CLOSED,S FIRST ST / E GREEN ST,"1,010,721.00","1,254,073.00"
3649 ,Request to repair or replace a stop sign, 01/03/2011, 01/05/2011,CLOSED,E GREGORY DR / S THIRD ST,"1,011,612.00","1,251,849.00"
3650 ,Pick up furniture, 01/03/2011, 01/04/2011,CLOSED,N FIRST ST / E WASHINGTON ST,"1,010,702.00","1,257,607.00"
3651 ,Pothole repair, 01/03/2011, 01/05/2011,CLOSED,S DUNCAN RD / W KIRBY AVE,"994,907.00","1,249,778.00"
3652 ,Heating/air conditioning complaints, 01/03/2011, 01/07/2011,CLOSED,82 E UNIVERSITY AVE,"1,010,563.00","1,256,413.00"
3653 ,Pothole repair, 01/03/2011, 01/04/2011,CLOSED,W BRADLEY AVE / N MATTIS AVE,"1,000,013.00","1,260,335.00"
3654 ,Electrical repair, 01/03/2011, 01/11/2011,CLOSED,2315 W JOHN ST,"997,719.00","1,253,607.00"
3655 ,Misc. request/problem involving City facilities, 01/03/2011, 01/07/2011,CLOSED,2315 W JOHN ST,"997,866.00","1,253,696.00"
3656 ,Pick up miscellaneous debris, 01/03/2011, 01/04/2011,CLOSED,S NEIL ST / W UNIVERSITY AVE,"1,009,369.00","1,256,289.00"
3657 ,Sewer backup, 01/03/2011, 01/04/2011,CLOSED,614 E BEARDSLEY AVE,"1,013,384.00","1,259,989.00"
3659 ,Inspect sewer, 01/03/2011, 01/04/2011,CLOSED,1301 N PROSPECT AVE,"1,005,235.00","1,261,007.00"
3660 ,Misc. asphalt request, 01/03/2011, 09/06/2011,CLOSED,1403 SCOTTSDALE DR,"996,616.00","1,250,548.00"
3661 ,Signal not cycling properly, 01/03/2011, 01/20/2011,CLOSED,W UNIVERSITY AVE / COUNTRY FAIR DR,"998,692.00","1,256,350.00"
3662 ,Water leak, 01/03/2011, 01/11/2011,CLOSED,712 ASHTON LN N,"1,006,646.00","1,247,134.00"
3663 ,Sewer backup, 01/03/2011, 01/04/2011,CLOSED,603 W COLUMBIA AVE,"1,006,917.00","1,257,971.00"
3664 ,Pothole repair, 01/03/2011, 01/05/2011,CLOSED,ASHTON LN N / PEACH ST,"1,006,161.00","1,246,847.00"
3665 ,Pothole repair, 01/03/2011, 01/05/2011,CLOSED,AYRSHIRE DR / PEACH ST,"1,006,253.00","1,247,209.00"
3666 ,Pothole repair, 01/03/2011, 01/05/2011,CLOSED,700 KENWOOD RD,"997,499.00","1,253,707.00"
3667 ,Pothole repair, 01/03/2011, 01/06/2011,CLOSED,W UNIVERSITY AVE / N MATTIS AVE,"1,000,055.00","1,256,328.00"
3668 ,Pothole repair, 01/03/2011, 01/05/2011,CLOSED,N DUNCAN RD / W BRADLEY AVE,"994,788.00","1,260,393.00"
3669 ,Pick up dead animal(s), 01/03/2011, 01/04/2011,CLOSED,1110 S DUNCAN RD,"994,955.00","1,251,699.00"
3670 ,Pothole repair, 01/03/2011, 01/05/2011,CLOSED,3500 W BRADLEY AVE,"992,628.00","1,260,444.00"
3671 ,Tree fallen to ground, 01/03/2011, 01/04/2011,CLOSED,402 CLEARWATER DR,"997,063.00","1,257,464.00"
3672 ,Sewer odor, 01/04/2011, 01/11/2011,CLOSED,105 N MARKET ST,"1,009,827.00","1,256,405.00"
3673 ,Signal not cycling properly, 01/04/2011, 01/05/2011,CLOSED,1400 W UNIVERSITY AVE,"1,002,336.00","1,256,323.00"
3674 ,Heating/air conditioning complaints, 01/04/2011, 01/11/2011,CLOSED,82 E UNIVERSITY AVE,"1,010,563.00","1,256,413.00"
3675 ,Pothole repair, 01/04/2011, 01/05/2011,CLOSED,0010 W GREEN ST,"1,010,295.00","1,254,089.00"
3676 ,Pick up miscellaneous debris, 01/04/2011, 01/05/2011,CLOSED,N MATTIS AVE / W OLYMPIAN DR,"999,968.00","1,271,366.00"
3677 ,Pothole repair, 01/04/2011, 01/06/2011,CLOSED,1811 WINCHESTER DR,"997,991.00","1,247,967.00"
3678 ,Pick up dead animal(s), 01/04/2011, 01/05/2011,CLOSED,1811 WINCHESTER DR,"997,991.00","1,247,967.00"
3679 ,Signal not cycling properly, 01/04/2011, 01/05/2011,CLOSED,1801 S PROSPECT AVE,"1,005,229.00","1,248,179.00"
3680 ,Signal not cycling properly, 01/04/2011, 01/05/2011,CLOSED,900 N NEIL ST,"1,009,376.00","1,259,099.00"
3681 ,Sewer backup, 01/04/2011, 01/04/2011,CLOSED,3103 W DANIEL ST,"994,077.00","1,253,278.00"
3682 ,Misc. concrete request, 01/04/2011, 01/04/2011,CLOSED,1910 N NEIL ST,"1,009,208.00","1,264,920.00"
3683 ,Sewer backup, 01/04/2011, 01/04/2011,CLOSED,108 ELLS AVE,"1,009,152.00","1,251,931.00"
3684 ,Sewer backup, 01/04/2011, 01/04/2011,CLOSED,1001 W CHURCH ST,"1,004,679.00","1,256,902.00"
3685 ,Snow & Ice mailbox repair, 01/04/2011, 01/04/2011,CLOSED,4803 STONEBRIDGE DR,"986,332.00","1,245,996.00"
3686 ,Pick up dead animal(s), 01/04/2011, 01/05/2011,CLOSED,1900 W CHURCH ST,"998,679.00","1,257,071.00"
3687 ,Repair of sod damaged by snow plow, 01/04/2011, 03/01/2011,CLOSED,1008 GALEN DR,"1,004,657.00","1,242,122.00"
3688 ,Pothole repair, 01/04/2011, 01/06/2011,CLOSED,S MATTIS AVE / HARBOR POINT DR,"1,000,186.00","1,245,908.00"
3689 ,Miscellaneous sewer call, 01/04/2011, 01/05/2011,CLOSED,301 S FAIR ST,"1,001,201.00","1,255,598.00"
3690 ,Signal not cycling properly, 01/04/2011, 01/20/2011,CLOSED,GLENN PARK DR / N MATTIS AVE,"1,000,035.00","1,257,503.00"
3691 ,Snow & Ice mailbox repair, 01/04/2011, 04/18/2011,CLOSED,1215 WILSHIRE CT,"1,003,117.00","1,241,833.00"
3692 ,Snow & Ice mailbox repair, 01/04/2011, 04/18/2011,CLOSED,2904B W KIRBY AVE,"995,398.00","1,249,794.00"
